survey_id,employee_id,survey_month,enps_score,satisfaction_1_5
1,2558,2025-05,50,3
2,884,2024-08,16,5
3,2620,2025-03,99,1
4,798,2024-10,76,5
5,3009,2024-09,92,1
6,2401,2025-12,45,1
7,1867,2024-06,-51,1
8,340,2024-04,93,2
9,732,2025-04,84,5
10,2165,2025-04,-41,2
11,1962,2025-12,77,3
12,353,2024-02,4,5
13,341,2025-10,45,5
14,2078,2025-09,-32,3
15,1289,2024-06,-49,2
16,1623,2025-08,-20,3
17,2091,2025-09,-63,3
18,2910,2024-03,-72,2
19,863,2024-01,-13,4
20,2377,2025-04,90,5
21,2963,2025-03,-93,1
22,3130,2025-09,-35,5
23,3343,2025-11,-43,4
24,16,2024-03,-59,1
25,260,2025-12,-86,4
26,2976,2025-09,-65,3
27,706,2025-03,5,1
28,994,2024-09,-15,1
29,1621,2025-04,23,1
30,2246,2025-02,72,3
31,130,2024-10,-78,3
32,2223,2024-02,-34,2
33,319,2025-06,75,5
34,1268,2024-08,-53,1
35,3085,2024-06,-81,5
36,431,2024-10,-52,1
37,156,2024-01,-21,1
38,1629,2024-10,-49,3
39,848,2025-09,0,4
40,842,2025-06,-59,4
41,1451,2024-02,17,4
42,584,2024-08,73,3
43,71,2025-04,-36,5
44,3170,2025-11,9,4
45,2777,2024-11,43,1
46,1410,2025-12,-87,3
47,2843,2024-02,-32,5
48,3411,2025-10,27,4
49,1352,2024-04,-50,5
50,536,2025-06,-18,4
51,692,2024-03,-9,4
52,3292,2025-12,88,2
53,3057,2024-06,-78,1
54,2398,2024-09,27,2
55,2325,2025-04,94,2
56,1049,2024-02,81,4
57,1795,2025-02,10,2
58,1262,2024-08,-22,2
59,1344,2024-11,-72,5
60,2491,2024-08,-48,1
61,1848,2025-09,60,4
62,1468,2024-11,-95,2
63,855,2025-07,44,5
64,2245,2024-01,86,5
65,1540,2025-05,-14,3
66,172,2024-10,62,4
67,2350,2025-03,97,5
68,1148,2025-09,53,4
69,1409,2025-05,0,5
70,3387,2024-09,13,4
71,2346,2024-06,-58,1
72,231,2025-10,-74,4
73,2531,2024-07,59,2
74,1000,2024-01,4,3
75,2582,2024-08,86,4
76,1198,2024-01,49,1
77,1950,2025-06,-48,4
78,2379,2025-10,93,3
79,632,2024-11,-99,2
80,466,2025-03,-81,4
81,2400,2025-12,22,4
82,247,2025-11,21,1
83,2807,2024-01,47,2
84,1484,2024-02,30,1
85,323,2024-10,-48,4
86,2617,2024-07,-71,5
87,3069,2024-04,93,5
88,231,2024-04,-33,2
89,3224,2025-08,-67,2
90,1420,2024-05,-87,2
91,2289,2024-12,61,1
92,913,2024-02,69,2
93,381,2025-03,76,4
94,3381,2025-06,71,1
95,2239,2025-03,-66,4
96,874,2024-07,-98,5
97,1220,2024-02,0,2
98,2596,2024-10,2,4
99,1040,2025-07,-95,3
100,2357,2024-03,76,5
101,126,2025-08,29,3
102,3381,2025-10,37,3
103,2483,2025-03,9,5
104,1153,2025-09,99,2
105,1941,2024-07,56,4
106,596,2025-03,16,5
107,1544,2025-06,0,2
108,1211,2025-06,67,5
109,1332,2025-05,-29,2
110,2786,2024-05,73,4
111,1411,2025-10,-73,2
112,22,2025-05,-93,4
113,1552,2024-03,-90,1
114,179,2025-04,-27,5
115,1636,2025-10,6,1
116,2327,2024-01,80,2
117,335,2025-10,84,5
118,218,2024-08,-94,1
119,1303,2024-08,53,5
120,1653,2024-12,-60,3
121,220,2025-06,-21,2
122,1115,2024-03,72,5
123,2658,2024-07,97,5
124,1956,2025-08,59,5
125,1789,2024-06,-64,3
126,359,2024-09,-93,1
127,2739,2025-04,100,4
128,2028,2024-07,-53,4
129,1471,2024-02,-54,5
