employee_id,hire_date,exit_date,exit_reason
175,,,Voluntary
1958,,,Voluntary 
2250,,,Voluntary
1537,,,Involuntary
2866,,,Voluntary
15,,,Voluntary
2162,,,RET
2016,,,Voluntary
1715,,,End of contract
2281,,,Voluntary
1713,,,Voluntary
2675,,,Voluntary
453,,,Voluntary
2710,,,End of contract
3424,,,End of contract
1001,,,Retirement
3203,,,Involuntary
2317,,,End of contract
1394,,,Voluntary
1949,,,Involuntary
1115,,,Voluntary
1521,,,End of contract
1387,,,Retirement
66,,,Involuntary
2230,,,End of contract
1534,,,End of contract
82,,,Voluntary
678,,,Voluntary
2597,,,Involuntary
593,,,Involuntary
982,,,Voluntary
1150,,,Voluntary
1342,,,Voluntary
2523,,,End of contract
2405,,,Involuntary
371,,,Involuntary
2613,,,Voluntary
1397,,,Voluntary
2265,,,Voluntary
2982,,,Voluntary
2857,,,Voluntary
1695,,,Voluntary
2608,,,Voluntary
1509,,,Voluntary
3207,,,Involuntary
1904,,,Voluntary
2487,,,Voluntary
1735,,,Retirement
3150,,,Voluntary
2903,,,End of contract
2717,,,Voluntary
2962,,,Voluntary
1970,,,Voluntary
2503,,,Retirement
1559,,,End of contract
755,,,Voluntary
2896,,,End of contract
200,,,Voluntary
1892,,,Voluntary
2736,,,Voluntary
1922,,,Voluntary
482,,,Voluntary
3026,,,Voluntary
1672,,,Voluntary
2676,,,Voluntary
2822,,,Voluntary
2881,,,Voluntary
2352,,,Voluntary
549,,,Voluntary
178,,,Voluntary
1344,,,Voluntary
2486,,,Voluntary
2425,,,Voluntary
390,,,Voluntary
2100,,,Voluntary
2203,,,Voluntary
2070,,,Voluntary
2759,,,Voluntary
1108,,,End of contract
1535,,,Voluntary
449,,,Voluntary
990,,,End of contract
2651,,,Voluntary
1933,,,Voluntary
950,,,Voluntary
354,,,Retirement
3295,,,Voluntary
1944,,,Voluntary
2737,,,Voluntary
2830,,,Voluntary
861,,,Voluntary
1241,,,Retirement
1488,,,Voluntary
3175,,,Involuntary
2944,,,End of contract
3056,,,Voluntary
1463,,,Voluntary
2844,,,Voluntary
2647,,,Involuntary
190,,,Voluntary
2698,,,Voluntary
456,,,Voluntary
3322,,,Voluntary
3300,,,Voluntary
13,,,Voluntary
2132,,,End of contract
2328,,,Retirement
2748,,,End of contract
691,,,Voluntary
2877,,,Voluntary
601,,,Voluntary
1654,,,Voluntary
1304,,,End of contract
565,,,Involuntary
2661,,,Voluntary
3125,,,Involuntary
1264,,,Voluntary
3253,,,Involuntary
975,,,Voluntary
2682,,,End of contract
342,,2025-12-31,Retirement
1677,,,Voluntary
1725,,,Voluntary
29,,,Voluntary
2292,,,End of contract
2863,,,Voluntary
1028,,,Retirement
2212,,,End of contract
858,,,Voluntary
2607,,,Voluntary
1206,,,Involuntary
1748,,,Voluntary
2807,,,Voluntary
2033,,,Voluntary
2580,,,Voluntary
2793,,,Voluntary
1741,,,Voluntary
2587,,,Voluntary
717,,,Voluntary
3384,,,Involuntary
557,,,Voluntary
542,,,Voluntary
1523,,,Retirement
3302,,,End of contract
983,,,Voluntary
252,,,End of contract
